dates,RA,DEC
"MAY 17, 2021",03:39:01,19:29:44
"MAY 18, 2021",03:43:01,19:42:52
"MAY 19, 2021",03:47:00,19:55:35
"MAY 20, 2021",03:51:00,20:08:02
"MAY 21, 2021",03:55:01,20:20:07
"MAY 22, 2021",03:59:02,20:31:49
"MAY 23, 2021",04:03:03,20:43:13
"MAY 24, 2021",04:07:06,20:54:15
"MAY 25, 2021",04:11:08,21:04:53
"MAY 26, 2021",04:15:11,21:15:12
"MAY 27, 2021",04:19:15,21:25:09
"MAY 28, 2021",04:23:18,21:34:41
"MAY 29, 2021",04:27:23,21:43:53
"MAY 30, 2021",04:31:29,21:52:42
"MAY 31, 2021",04:35:33,22:01:06
"JUN  1, 2021",04:39:39,22:09:09
"JUN  2, 2021",04:43:46,22:16:49
"JUN  3, 2021",04:47:52,22:24:04
"JUN  4, 2021",04:51:59,22:30:58
"JUN  5, 2021",04:56:07,22:37:27
"JUN  6, 2021",05:00:14,22:43:31
"JUN  7, 2021",05:04:22,22:49:13
"JUN  8, 2021",05:08:30,22:54:30
"JUN  9, 2021",05:12:38,22:59:22
"JUN 10, 2021",05:16:47,23:03:52
"JUN 11, 2021",05:20:56,23:07:56
"JUN 12, 2021",05:25:05,23:11:35
"JUN 13, 2021",05:29:14,23:14:51
"JUN 14, 2021",05:33:24,23:17:42
"JUN 15, 2021",05:37:33,23:20:08
"JUN 16, 2021",05:41:42,23:22:09
"JUN 17, 2021",05:45:52,23:23:46
"JUN 18, 2021",05:50:01,23:24:58
"JUN 19, 2021",05:54:11,23:25:45
"JUN 20, 2021",05:58:21,23:26:07
"JUN 21, 2021",06:02:31,23:26:04
"JUN 22, 2021",06:06:40,23:25:37
"JUN 23, 2021",06:10:50,23:24:45
"JUN 24, 2021",06:14:59,23:23:28
"JUN 25, 2021",06:19:08,23:21:47
"JUN 26, 2021",06:23:17,23:19:40
"JUN 27, 2021",06:27:26,23:17:09
"JUN 28, 2021",06:31:34,23:14:14
"JUN 29, 2021",06:35:43,23:10:54
"JUN 30, 2021",06:39:52,23:07:10
"JUL  1, 2021",06:43:59,23:03:02
"JUL  2, 2021",06:48:07,22:58:29
"JUL  3, 2021",06:52:15,22:53:32
"JUL  4, 2021",06:56:22,22:48:12
"JUL  5, 2021",07:00:29,22:42:28
"JUL  6, 2021",07:04:36,22:36:19
"JUL  7, 2021",07:08:42,22:29:49
"JUL  8, 2021",07:12:48,22:22:53
"JUL  9, 2021",07:16:54,22:15:35
"JUL 10, 2021",07:20:58,22:07:55
"JUL 11, 2021",07:25:03,21:59:51
"JUL 12, 2021",07:29:07,21:51:24
"JUL 13, 2021",07:33:10,21:42:36
"JUL 14, 2021",07:37:14,21:33:24
"JUL 15, 2021",07:41:17,21:23:50
"JUL 16, 2021",07:45:18,21:13:57
"JUL 17, 2021",07:49:20,21:03:40
"JUL 18, 2021",07:53:21,20:53:01
"JUL 19, 2021",07:57:21,20:42:04
"JUL 20, 2021",08:01:21,20:30:43
"JUL 21, 2021",08:05:21,20:19:02
"JUL 22, 2021",08:09:19,20:07:03
"JUL 23, 2021",08:13:17,19:54:41
"JUL 24, 2021",08:17:15,19:41:59
"JUL 25, 2021",08:21:11,19:29:00
"JUL 26, 2021",08:25:08,19:15:39
"JUL 27, 2021",08:29:04,19:01:59
"JUL 28, 2021",08:32:58,18:48:03
"JUL 29, 2021",08:36:53,18:33:46
"JUL 30, 2021",08:40:47,18:19:10
"JUL 31, 2021",08:44:40,18:04:20
"AUG  1, 2021",08:48:33,17:49:08
"AUG  2, 2021",08:52:26,17:33:39
"AUG  3, 2021",08:56:16,17:17:57
"AUG  4, 2021",09:00:08,17:01:54
"AUG  5, 2021",09:03:59,16:45:34
"AUG  6, 2021",09:07:48,16:29:03
"AUG  7, 2021",09:11:37,16:12:11
"AUG  8, 2021",09:15:26,15:55:04
"AUG  9, 2021",09:19:14,15:37:45
"AUG 10, 2021",09:23:02,15:20:08
"AUG 11, 2021",09:26:49,15:02:15
"AUG 12, 2021",09:30:34,14:44:13
"AUG 13, 2021",09:34:21,14:25:52
"AUG 14, 2021",09:38:06,14:07:17
"AUG 15, 2021",09:41:50,13:48:34
"AUG 16, 2021",09:45:35,13:29:32
"AUG 17, 2021",09:49:18,13:10:18
"AUG 18, 2021",09:53:01,12:50:56
"AUG 19, 2021",09:56:44,12:31:17
"AUG 20, 2021",10:00:26,12:11:26
"AUG 21, 2021",10:04:07,11:51:29
"AUG 22, 2021",10:07:48,11:31:15
"AUG 23, 2021",10:11:29,11:10:50
"AUG 24, 2021",10:15:09,10:50:21
"AUG 25, 2021",10:18:49,10:29:35
"AUG 26, 2021",10:22:29,10:08:39
"AUG 27, 2021",10:26:08,09:47:39
"AUG 28, 2021",10:29:47,09:26:25
"AUG 29, 2021",10:33:25,09:05:01
"AUG 30, 2021",10:37:03,08:43:34
"AUG 31, 2021",10:40:41,08:21:54
"SEP  1, 2021",10:44:19,08:00:05
"SEP  2, 2021",10:47:55,07:38:14
"SEP  3, 2021",10:51:33,07:16:10
"SEP  4, 2021",10:55:10,06:53:59
"SEP  5, 2021",10:58:46,06:31:47
"SEP  6, 2021",11:02:22,06:09:23
"SEP  7, 2021",11:05:59,05:46:52
"SEP  8, 2021",11:09:34,05:24:22
"SEP  9, 2021",11:13:10,05:01:41
"SEP 10, 2021",11:16:46,04:38:54
"SEP 11, 2021",11:20:21,04:16:08
"SEP 12, 2021",11:23:56,03:53:12
"SEP 13, 2021",11:27:32,03:30:12
"SEP 14, 2021",11:31:07,03:07:14
"SEP 15, 2021",11:34:42,02:44:06
"SEP 16, 2021",11:38:17,02:20:56
"SEP 17, 2021",11:41:52,01:57:48
"SEP 18, 2021",11:45:27,01:34:32
"SEP 19, 2021",11:49:03,01:11:14
"SEP 20, 2021",11:52:37,00:48:00
"SEP 21, 2021",11:56:13,00:24:39
"SEP 22, 2021",11:59:48,00:01:16
"SEP 23, 2021",12:03:23,-00:22:01
"SEP 24, 2021",12:06:59,-00:45:25
"SEP 25, 2021",12:10:35,-01:08:49
"SEP 26, 2021",12:14:10,-01:32:06
"SEP 27, 2021",12:17:47,-01:55:29
"SEP 28, 2021",12:21:24,-02:18:52
"SEP 29, 2021",12:25:00,-02:42:07
"SEP 30, 2021",12:28:37,-03:05:26
"OCT  1, 2021",12:32:14,-03:28:43
"OCT  2, 2021",12:35:51,-03:51:52
"OCT  3, 2021",12:39:30,-04:15:05
"OCT  4, 2021",12:43:08,-04:38:14
"OCT  5, 2021",12:46:46,-05:01:14
"OCT  6, 2021",12:50:25,-05:24:16
"OCT  7, 2021",12:54:05,-05:47:14
"OCT  8, 2021",12:57:44,-06:10:02
